arm,towers,sockets,shape,entry,meanDepth,lane0Leak,lane1Leak,totalLeak
A,2,L0S0|L0S1,2-0-0,0.00,4.500,4,11,15
A,2,L0S0|L0S2,2-0-0,0.00,6.000,7,11,18
A,2,L0S0|L1S0,1-1-0,0.00,3.000,14,9,23
A,2,L0S0|L1S1,1-1-0,0.00,4.500,14,9,23
A,2,L0S0|L1S2,1-1-0,0.00,6.000,14,9,23
A,2,L0S0|J,1-0-1,0.00,4.500,13,10,23
A,2,L0S1|L0S2,2-0-0,0.00,7.500,5,11,16
A,2,L0S1|L1S0,1-1-0,0.00,4.500,17,9,26
A,2,L0S1|L1S1,1-1-0,0.00,6.000,17,9,26
A,2,L0S1|L1S2,1-1-0,0.00,7.500,17,9,26
A,2,L0S1|J,1-0-1,0.00,6.000,17,10,27
A,2,L0S2|L1S0,1-1-0,0.00,6.000,15,9,24
A,2,L0S2|L1S1,1-1-0,0.00,7.500,15,9,24
A,2,L0S2|L1S2,1-1-0,0.00,9.000,15,9,24
A,2,L0S2|J,1-0-1,0.00,7.500,12,10,22
A,2,L1S0|L1S1,0-2-0,0.00,4.500,17,1,18
A,2,L1S0|L1S2,0-2-0,0.00,6.000,17,1,18
A,2,L1S0|J,0-1-1,0.00,4.500,17,2,19
A,2,L1S1|L1S2,0-2-0,0.00,7.500,17,1,18
A,2,L1S1|J,0-1-1,0.00,6.000,17,8,25
A,2,L1S2|J,0-1-1,0.00,7.500,17,1,18
A,3,L0S0|L0S1|L0S2,3-0-0,1.00,6.000,0,11,11
A,3,L0S0|L0S1|L1S0,2-1-0,1.00,4.000,5,9,14
A,3,L0S0|L0S1|L1S1,2-1-0,1.00,5.000,5,9,14
A,3,L0S0|L0S1|L1S2,2-1-0,1.00,6.000,5,9,14
A,3,L0S0|L0S1|J,2-0-1,1.00,5.000,3,10,13
A,3,L0S0|L0S2|L1S0,2-1-0,1.00,5.000,7,9,16
A,3,L0S0|L0S2|L1S1,2-1-0,1.00,6.000,7,9,16
A,3,L0S0|L0S2|L1S2,2-1-0,1.00,7.000,7,9,16
A,3,L0S0|L0S2|J,2-0-1,1.00,6.000,5,10,15
A,3,L0S0|L1S0|L1S1,1-2-0,1.00,4.000,16,1,17
A,3,L0S0|L1S0|L1S2,1-2-0,1.00,5.000,16,1,17
A,3,L0S0|L1S0|J,1-1-1,1.00,4.000,16,3,19
A,3,L0S0|L1S1|L1S2,1-2-0,1.00,6.000,16,1,17
A,3,L0S0|L1S1|J,1-1-1,1.00,5.000,16,8,24
A,3,L0S0|L1S2|J,1-1-1,1.00,6.000,16,1,17
A,3,L0S1|L0S2|L1S0,2-1-0,1.00,6.000,5,9,14
A,3,L0S1|L0S2|L1S1,2-1-0,1.00,7.000,5,9,14
A,3,L0S1|L0S2|L1S2,2-1-0,1.00,8.000,5,9,14
A,3,L0S1|L0S2|J,2-0-1,1.00,7.000,1,10,11
A,3,L0S1|L1S0|L1S1,1-2-0,1.00,5.000,17,1,18
A,3,L0S1|L1S0|L1S2,1-2-0,1.00,6.000,17,1,18
A,3,L0S1|L1S0|J,1-1-1,1.00,5.000,17,3,20
A,3,L0S1|L1S1|L1S2,1-2-0,1.00,7.000,17,1,18
A,3,L0S1|L1S1|J,1-1-1,1.00,6.000,17,8,25
A,3,L0S1|L1S2|J,1-1-1,1.00,7.000,17,1,18
A,3,L0S2|L1S0|L1S1,1-2-0,1.00,6.000,13,1,14
A,3,L0S2|L1S0|L1S2,1-2-0,1.00,7.000,13,1,14
A,3,L0S2|L1S0|J,1-1-1,1.00,6.000,12,3,15
A,3,L0S2|L1S1|L1S2,1-2-0,1.00,8.000,13,1,14
A,3,L0S2|L1S1|J,1-1-1,1.00,7.000,12,8,20
A,3,L0S2|L1S2|J,1-1-1,1.00,8.000,12,1,13
A,3,L1S0|L1S1|L1S2,0-3-0,1.00,6.000,17,0,17
A,3,L1S0|L1S1|J,0-2-1,1.00,5.000,17,0,17
A,3,L1S0|L1S2|J,0-2-1,1.00,6.000,17,0,17
A,3,L1S1|L1S2|J,0-2-1,1.00,7.000,17,0,17
A,4,L0S0|L0S1|L0S2|L1S0,3-1-0,2.00,5.250,0,10,10
A,4,L0S0|L0S1|L0S2|L1S1,3-1-0,2.00,6.000,0,9,9
A,4,L0S0|L0S1|L0S2|L1S2,3-1-0,2.00,6.750,0,9,9
A,4,L0S0|L0S1|L0S2|J,3-0-1,2.00,6.000,0,10,10
A,4,L0S0|L0S1|L1S0|L1S1,2-2-0,2.00,4.500,5,1,6
A,4,L0S0|L0S1|L1S0|L1S2,2-2-0,2.00,5.250,5,1,6
A,4,L0S0|L0S1|L1S0|J,2-1-1,2.00,4.500,5,3,8
A,4,L0S0|L0S1|L1S1|L1S2,2-2-0,2.00,6.000,5,1,6
A,4,L0S0|L0S1|L1S1|J,2-1-1,2.00,5.250,5,8,13
A,4,L0S0|L0S1|L1S2|J,2-1-1,2.00,6.000,5,1,6
A,4,L0S0|L0S2|L1S0|L1S1,2-2-0,2.00,5.250,6,1,7
A,4,L0S0|L0S2|L1S0|L1S2,2-2-0,2.00,6.000,6,1,7
A,4,L0S0|L0S2|L1S0|J,2-1-1,2.00,5.250,6,3,9
A,4,L0S0|L0S2|L1S1|L1S2,2-2-0,2.00,6.750,6,1,7
A,4,L0S0|L0S2|L1S1|J,2-1-1,2.00,6.000,6,8,14
A,4,L0S0|L0S2|L1S2|J,2-1-1,2.00,6.750,6,1,7
A,4,L0S0|L1S0|L1S1|L1S2,1-3-0,2.00,5.250,16,0,16
A,4,L0S0|L1S0|L1S1|J,1-2-1,2.00,4.500,14,0,14
A,4,L0S0|L1S0|L1S2|J,1-2-1,2.00,5.250,14,0,14
A,4,L0S0|L1S1|L1S2|J,1-2-1,2.00,6.000,14,0,14
A,4,L0S1|L0S2|L1S0|L1S1,2-2-0,2.00,6.000,2,1,3
A,4,L0S1|L0S2|L1S0|L1S2,2-2-0,2.00,6.750,2,1,3
A,4,L0S1|L0S2|L1S0|J,2-1-1,2.00,6.000,0,3,3
A,4,L0S1|L0S2|L1S1|L1S2,2-2-0,2.00,7.500,2,1,3
A,4,L0S1|L0S2|L1S1|J,2-1-1,2.00,6.750,0,8,8
A,4,L0S1|L0S2|L1S2|J,2-1-1,2.00,7.500,0,1,1
A,4,L0S1|L1S0|L1S1|L1S2,1-3-0,2.00,6.000,17,0,17
A,4,L0S1|L1S0|L1S1|J,1-2-1,2.00,5.250,16,0,16
A,4,L0S1|L1S0|L1S2|J,1-2-1,2.00,6.000,16,0,16
A,4,L0S1|L1S1|L1S2|J,1-2-1,2.00,6.750,16,0,16
A,4,L0S2|L1S0|L1S1|L1S2,1-3-0,2.00,6.750,13,0,13
A,4,L0S2|L1S0|L1S1|J,1-2-1,2.00,6.000,12,0,12
A,4,L0S2|L1S0|L1S2|J,1-2-1,2.00,6.750,12,0,12
A,4,L0S2|L1S1|L1S2|J,1-2-1,2.00,7.500,12,0,12
A,4,L1S0|L1S1|L1S2|J,0-3-1,2.00,6.000,17,0,17
B,2,L0S0|L0S1,2-0-0,0.00,4.500,4,11,15
B,2,L0S0|L0S2,2-0-0,0.00,6.000,7,11,18
B,2,L0S0|L1S0,1-1-0,0.00,3.000,14,9,23
B,2,L0S0|L1S1,1-1-0,0.00,4.500,14,9,23
B,2,L0S0|L1S2,1-1-0,0.00,6.000,14,9,23
B,2,L0S0|J,1-0-1,0.00,4.500,13,10,23
B,2,L0S1|L0S2,2-0-0,0.00,7.500,5,11,16
B,2,L0S1|L1S0,1-1-0,0.00,4.500,17,9,26
B,2,L0S1|L1S1,1-1-0,0.00,6.000,17,9,26
B,2,L0S1|L1S2,1-1-0,0.00,7.500,17,9,26
B,2,L0S1|J,1-0-1,0.00,6.000,17,10,27
B,2,L0S2|L1S0,1-1-0,0.00,6.000,15,9,24
B,2,L0S2|L1S1,1-1-0,0.00,7.500,15,9,24
B,2,L0S2|L1S2,1-1-0,0.00,9.000,15,9,24
B,2,L0S2|J,1-0-1,0.00,7.500,12,10,22
B,2,L1S0|L1S1,0-2-0,0.00,4.500,17,1,18
B,2,L1S0|L1S2,0-2-0,0.00,6.000,17,1,18
B,2,L1S0|J,0-1-1,0.00,4.500,17,2,19
B,2,L1S1|L1S2,0-2-0,0.00,7.500,17,1,18
B,2,L1S1|J,0-1-1,0.00,6.000,17,8,25
B,2,L1S2|J,0-1-1,0.00,7.500,17,1,18
B,3,L0S0|L0S1|L0S2,3-0-0,1.00,6.000,0,11,11
B,3,L0S0|L0S1|L1S0,2-1-0,1.00,4.000,5,9,14
B,3,L0S0|L0S1|L1S1,2-1-0,1.00,5.000,5,9,14
B,3,L0S0|L0S1|L1S2,2-1-0,1.00,6.000,5,9,14
B,3,L0S0|L0S1|J,2-0-1,1.00,5.000,3,10,13
B,3,L0S0|L0S2|L1S0,2-1-0,1.00,5.000,7,9,16
B,3,L0S0|L0S2|L1S1,2-1-0,1.00,6.000,7,9,16
B,3,L0S0|L0S2|L1S2,2-1-0,1.00,7.000,7,9,16
B,3,L0S0|L0S2|J,2-0-1,1.00,6.000,5,10,15
B,3,L0S0|L1S0|L1S1,1-2-0,1.00,4.000,16,1,17
B,3,L0S0|L1S0|L1S2,1-2-0,1.00,5.000,16,1,17
B,3,L0S0|L1S0|J,1-1-1,1.00,4.000,16,3,19
B,3,L0S0|L1S1|L1S2,1-2-0,1.00,6.000,16,1,17
B,3,L0S0|L1S1|J,1-1-1,1.00,5.000,16,8,24
B,3,L0S0|L1S2|J,1-1-1,1.00,6.000,16,1,17
B,3,L0S1|L0S2|L1S0,2-1-0,1.00,6.000,5,9,14
B,3,L0S1|L0S2|L1S1,2-1-0,1.00,7.000,5,9,14
B,3,L0S1|L0S2|L1S2,2-1-0,1.00,8.000,5,9,14
B,3,L0S1|L0S2|J,2-0-1,1.00,7.000,1,10,11
B,3,L0S1|L1S0|L1S1,1-2-0,1.00,5.000,17,1,18
B,3,L0S1|L1S0|L1S2,1-2-0,1.00,6.000,17,1,18
B,3,L0S1|L1S0|J,1-1-1,1.00,5.000,17,3,20
